錒	锕
槍	枪
瑲	玱
錆	锖
蹌	跄
鏘	锵
強	强
嬙	嫱
廧	𪪞
薔	蔷
檣	樯
牆	墙
搶	抢
羥	羟
繈	𫄶
鏹	镪
熗	炝
磽	硗
鍬	锹
蹺	跷
喬	乔
僑	侨
嘺	𪡀
蕎	荞
橋	桥
犞	𪺭
礄	硚
鐈	𫓱
鞽	鞒
誚	诮
竅	窍
翹	翘
譙	谯
愜	惬
篋	箧
鍥	锲
竊	窃
欽	钦
嶔	嵚
親	亲
駸	骎
寢	寝
鋟	锓
撳	揿
氫	氢
傾	倾
輕	轻
葝	𫈎
頃	顷
廎	庼
請	请
慶	庆
煢	茕
窮	穷
瓊	琼
藭	䓖
秋	秋
鞦	秋
鰌	䲡
鰍	鳅
鶖	鹙
虯	虬
釚	𫟲
巰	巯
賕	赇
銶	𨱇
鯄	𩾁
鰽	𫚧
曲	曲
區	区
詘	诎
嶇	岖
誳	𫍮
趨	趋
軀	躯
麴	曲 麹
驅	驱
鴝	鸲
詓	𫍜
齲	龋
闃	阒
覷	觑
駩	𩧴
詮	诠
輇	辁
銓	铨
鰁	鳈
權	权
顴	颧
綣	绻
勸	劝
卻	却
确	确
愨	悫
確	确
闋	阕
礐	𬒈
闕	阙
鵲	鹊
羣	群
纕	𬙋
讓	让
嬈	娆
蕘	荛
橈	桡
襓	𫋹
饒	饶
擾	扰
繞	绕
熱	热
紉	纫
紝	纴
訒	讱
軔	轫
絍	𫟃
韌	韧
飪	饪
認	认
馹	驲
絨	绒
榮	荣
嶸	嵘
爃	𫞡
鎔	镕
蠑	蝾
輮	𫐓
鍒	𫔄
銣	铷
鴽	𫛪
顬	颥
縟	缛
軟	软
銳	锐
瞤	𥆧
閏	闰
潤	润
爇	𦶟
灑	洒
鈒	钑
摋	𢫬
颯	飒
薩	萨
鰓	鳃
賽	赛
毿	毵
鬖	𩭹
傘	伞
糝	糁
鏾	𫔌
饊	馓
閐	𨸃
顙	颡
喪	丧
繅	缫
騷	骚
鰠	鳋
鱢	𫚫
掃	扫
嗇	啬
銫	铯
懎	𢠁
澀	涩
穡	穑
繬	𫄱
譅	𰶎
飋	𫗋
槮	椮
剎	刹
殺	杀
紗	纱
樧	榝
魦	𫚌
鎩	铩
鯊	鲨
廈	厦
篩	筛
釃	酾
曬	晒
刪	删
姍	姗
柵	栅
軕	𫐅
幓	㡎
膻	膻
羶	膻
陝	陕
閃	闪
熌	𤇄
訕	讪
釤	钐
銏	𫟶
墠	𫮃
樿	椫
謆	𫍸
繕	缮
贍	赡
鐥	䦅
騸	骟
鱔	鳝
傷	伤
殤	殇
觴	觞
賞	赏
緔	绱
鞝	绱
燒	烧
紹	绍
輋	𪨶
賒	赊
舍	舍
捨	舍
厙	厍
設	设
懾	慑
攝	摄
灄	滠
欇	𪳍
紳	绅
詵	诜
蔘	参
駪	𬳽
鰺	鲹
沈	沈
審	审
諗	谂
嬸	婶
瀋	沈 渖
讅	谉
腎	肾
滲	渗
鋠	𫓵
瘮	瘆
升	升
昇	升
聲	声
繩	绳
胜	胜
勝	胜
聖	圣
尸	尸
屍	尸
師	师
絁	𫄟
溮	浉
溼	湿
獅	狮
詩	诗
鉈	铊
鳲	鸤
蝨	虱
鳾	䴓
鯴	鲺
鰤	𫚕
飠	饣
時	时
塒	埘
溡	𪶄
蒔	莳
實	实
蝕	蚀
識	识
鰣	鲥
駛	驶
适	适
視	视
貰	贳
勢	势
弒	弑
試	试
軾	轼
鈰	铈
飾	饰
適	适
鉽	𫟸
諟	𬤊
諡	谥
謚	谥
釋	释
壽	寿
綬	绶
獸	兽
鏉	𨱒
書	书
紓	纾
軗	𨐅
綀	𦈌
樞	枢
輸	输
攄	摅
贖	赎
藷	𫉄
屬	属
朮	术
術	术
鉥	𬬸
數	数
豎	竖
樹	树
帥	帅
閂	闩
雙	双
孇	𪥫
騻	𫘭
驦	骦
鸘	鹴
誰	谁
涗	涚
稅	税
順	顺
說	说
碩	硕
鎙	𫔈
爍	烁
鑠	铄
糹	纟
私	私
俬	私
絲	丝
噝	咝
廝	厮
緦	缌
螄	蛳
颸	飔
鷥	鸶
釲	𫟳
飼	饲
駟	驷
瀃	𣽷
松	松
鍶	锶
鬆	松
慫	怂
聳	耸
訟	讼
頌	颂
誦	诵
餸	𩠌
搜	搜
蒐	搜
鎪	锼
餿	馊
颼	飕
颾	𩙫
騪	𩨄
擻	擞
藪	薮
籔	䉤
甦	苏
穌	稣
蘇	苏
囌	苏
訴	诉
肅	肃
鋉	𨱈
餗	𫗧
潚	㴋
謖	谡
驌	骕
鷫	鹔
痠	酸
酸	酸
綏	绥
雖	虽
隨	随
歲	岁
誶	谇
繐	𰬸
繸	䍁
鐩	𬭼
孫	孙
猻	狲
蓀	荪
筍	笋
損	损
縮	缩
嗩	唢
瑣	琐
鎈	𫟿
鎍	𫔅
鎖	锁
它	它
牠	它
獺	獭
鰨	鳎
撻	挞
澾	㳠
闒	阘
闥	闼
台	台
苔	苔
臺	台
颱	台
駘	骀
鮐	鲐
薹	苔
檯	台
鈦	钛
態	态
貪	贪
攤	摊
灘	滩
癱	瘫
談	谈
壇	坛
曇	昙
錟	锬
顃	𩖖
罈	坛
譚	谭
鉭	钽
嘆	叹
歎	叹
賧	赕
湯	汤
劏	㓥
鏜	镗
鐋	铴
餳	饧
鎲	镋
儻	傥
钂	镋
燙	烫
絛	绦
濤	涛
韜	韬
綯	绹
檮	梼
騊	𫘦
討	讨
鋱	铽
蟘	𫋌
謄	誊
騰	腾
鰧	䲢
鷉	䴘
綈	绨
緹	缇
銻	锑
題	题
鵜	鹈
騠	𫘨
鯷	鳀
鶗	𫛸
鷤	𫛴
體	体
屜	屉
殢	𣨼
靝	靔
鈿	钿
闐	阗
覥	觍
賟	𧹖
鍩	锘
靦	䩄 腼
條	条
樤	𣔌
齠	龆
鰷	鲦
誂	𫍥
糶	粜
貼	贴
鐵	铁
烴	烃
綎	𬘩
聽	听
廳	厅
頲	颋
同	同
詷	𫍣
銅	铜
鮦	鲖
統	统
衕	同
慟	恸
鍮	𨱎
緰	𦈕
頭	头
禿	秃
鵚	𪉍
涂	涂
塗	涂
鈯	𨱄
圖	图
駼	𬳿
釷	钍
團	团
摶	抟
槫	𣏢
糰	团
隤	𬯎
頹	颓
蛻	蜕
飩	饨
魨	鲀
托	托
挩	捝
託	托 讬
脫	脱
飥	饦
馱	驮
駝	驼
駞	𫘞
鮀	𬶍
鴕	鸵
鼉	鼍
橢	椭
蘀	萚
籜	箨
媧	娲
窪	洼
膃	腽
襪	袜
喎	㖞
彎	弯
壪	塆
灣	湾
玩	玩
紈	纨
頑	顽
翫	玩
挽	挽
綰	绾
輓	挽
万	万
萬	万
澫	𬇕
錽	𫓸
贃	𧹗
網	网
誷	𫍬
輞	辋
瀇	㲿
鰃	鳂
韋	韦
圍	围
幃	帏
湋	𣲗
違	违
維	维
潙	沩
潿	涠
磑	硙
濰	潍
闈	闱
鮠	𬶏
覹	𫌭
偉	伟
葦	苇
暐	𬀩
椲	㭏
煒	炜
瑋	玮
僞	伪
緯	纬
蔿	𫇭
諉	诿
頠	𬱟
薳	䓕
鮪	鲔
韙	韪
喂	喂
爲	为
蝟	猬
衛	卫
懀	𢙓
謂	谓
餧	𫗪
餵	喂 𫗭
轊	𫐕
鏏	𬭬
溫	温
榲	榅
轀	輼 辒
鰮	鳁
紋	纹
聞	闻
馼	𫘜
鳼	𪉃
閿	阌
穩	稳
問	问
搵	揾
鎓	𬭩
鶲	鹟
甕	瓮
渦	涡
萵	莴
窩	窝
撾	挝
蝸	蜗
臥	卧
齷	龌
烏	乌
鄔	邬
嗚	呜
誣	诬
鴮	𫛦
鎢	钨
吳	吴
無	无
蕪	芜
鵐	鹀
熓	𤆡
嫵	妩
廡	庑
憮	怃
潕	𣲘
鵡	鹉
務	务
悞	悮
塢	坞
誤	误
霧	雾
騖	骛
鶩	鹜
餏	饻
錫	锡
釐	厘
譆	𫍻
犧	牺
鸂	㶉
鑴	𫔔
席	席
習	习
蓆	席
覡	觋
騱	𫘬
襲	袭
鰼	鳛
驨	𫘱
諰	𫍰
縰	𫄳
璽	玺
鱚	𬶮
系	系
係	系
細	细
釳	𨰿
綌	绤
熂	𪸕
戱	戯
戲	戏
餼	饩
鬩	阋
繫	系
霼	𪵣
蝦	虾
鰕	𫚥
俠	侠
峽	峡
狹	狭
硤	硖
轄	辖
嚇	吓
秈	籼
銛	铦
憸	𪫺
薟	莶
鍁	锨
鮮	鲜
鶱	𬸣
躚	跹
纖	纤
弦	弦
咸	咸
絃	弦
閑	闲
閒	闲 𫔮
銜	衔
嫺	娴
嫻	娴
撏	挦
賢	贤
諴	𫍯
癇	痫
鹹	咸
鷳	鹇
鷴	鹇
銑	铣
險	险
嶮	崄
獫	猃
獮	狝
蘚	藓
玁	𤞤
顯	显
哯	𠯟
峴	岘
莧	苋
晛	𬀪
現	现
睍	𪾢
羨	羡
蜆	蚬
撊	𪭾
線	线 缐
憲	宪
縣	县
餡	馅
麲	𪎉
獻	献
鄉	乡
廂	厢
薌	芗
緗	缃
鑲	镶
驤	骧
詳	详
餉	饷
曏	向
蠁	蚃
鯗	鲞
響	响
饗	飨
饟	𫗵
向	向
項	项
嚮	向
梟	枭
綃	绡
嘵	哓
憢	𢙒
銷	销
蕭	萧
鴞	鸮
蟂	𫋇
瀟	潇
簫	箫
囂	嚣
蠨	蟏
驍	骁
毊	𪵑
曉	晓
篠	筿
謏	𫍲
嘯	啸
斅	𢽾
斆	敩
蝎	蝎
蠍	蝎
協	协
挾	挟
脅	胁
頡	颉
諧	谐
擷	撷
攜	携
纈	缬
寫	写
屓	屃
紲	绁
緤	𫄬
褻	亵
謝	谢
瀉	泻
齘	𬹼
訢	䜣
廞	𫷷
鋅	锌
鐔	镡
釁	衅
騂	骍
陘	陉
娙	𫰛
鈃	钘
滎	荥
鉶	铏
幸	幸
倖	幸
興	兴
凶	凶
兇	凶
洶	汹
訩	讻
詗	诇
修	修
脩	修
鵂	鸺
饈	馐
綇	𦈋
繡	绣
鏥	𫔊
鏽	锈
吁	吁
訏	𬣙
虛	虚
須	须
頊	顼
噓	嘘
嬃	媭
諝	谞
繻	𦈡
鬚	须
許	许
詡	诩
盨	𪾔
卹	恤
恤	恤
敘	叙
漵	溆
緒	绪
銊	𫓰
續	续
鱮	𫚈
軒	轩
鋗	𫓶
諼	谖
譞	𫍽
旋	旋
璇	璇
璿	璇
懸	悬
選	选
癬	癣
絢	绚
鉉	铉
繏	𦈝
鏇	旋 镟
鞾	𫖇
學	学
嶨	峃
澩	泶
鷽	鸴
鱈	鳕
謔	谑
勛	勋
塤	埙
熏	熏
勳	勋
壎	埙
燻	熏
纁	𫄸
紃	𬘓
尋	寻
詢	询
馴	驯
鄩	𬩽
噚	㖊
潯	浔
樳	桪
燖	𬊈
璕	𬍤
蟳	𫊻
鱘	鲟
訊	讯
訓	训
遜	逊
愻	𢙏
埡	垭
椏	桠
鴉	鸦
錏	铔
鴨	鸭
壓	压
啞	哑
瘂	痖
亞	亚
軋	轧
婭	娅
掗	挜
訝	讶
氬	氩
稏	䅉
齾	𫜰
菸	烟
腌	腌
煙	烟
醃	腌
閹	阉
懨	恹
訁	讠
岩	岩
閆	闫
綖	𫄧
閻	阎
顏	颜
嚴	严
巗	𪨷
巖	岩
鹽	盐
兗	兖
噞	𪡋
縯	𬙂
厴	厣
鰋	𫚢
鶠	𬸘
龑	䶮
儼	俨
鼴	鼹
巘	𪩘
魘	魇
齴	𫜮
黶	黡
咽	咽
彥	彦
覎	觃
硯	砚
厭	厌
諺	谚
鴳	𫛩
嚥	咽
贋	赝
醶	𫑷
騴	𫘫
贗	赝
讌	䜩
饜	餍
驗	验
艷	艳
釅	酽
灧	滟
讞	谳
豔	艳
灩	滟
鉠	𫓭
鴦	鸯
陽	阳
揚	扬
暘	旸
楊	杨
煬	炀
瘍	疡
鍚	钖
颺	飏
鰑	𫚊
養	养
駚	𩧫
癢	痒
樣	样
訞	𫍚
堯	尧
軺	轺
搖	摇
遙	遥
瑤	瑶
銚	铫
嶢	峣
窯	窑
餚	肴
謠	谣
颻	飖
鰩	鳐
齩	𫜪
葯	药
藥	药
鷂	鹞
鑰	钥
爺	爷
釾	䥺
鋣	铘
叶	叶
頁	页
葉	叶
業	业
曄	晔
燁	烨
鄴	邺
謁	谒
擫	𢬍
饁	馌
靨	靥
禕	祎
銥	铱
醫	医
鷖	鹥
訑	𫍙
詑	𫍡
詒	诒
貽	贻
飴	饴
儀	仪
遺	遗
頤	颐
釔	钇
輢	𫐎
礒	𥐟
艤	舣
蟻	蚁
顗	𫖮
齮	𬺈
異	异
釴	𬬩
軼	轶
鈠	𨱁
義	义
詣	诣
勩	勚
億	亿
瘞	瘗
誼	谊
嶧	峄
憶	忆
懌	怿
瘱	𪽷
縊	缢
藝	艺
鎰	镒
繶	𫄷
繹	绎
譯	译
議	议
囈	呓
鐿	镱
鷁	鹢
鷊	鹝
驛	驿
虉	𬟁
陰	阴
絪	𬘡
蔭	荫
銦	铟
緸	𦈑
諲	𬤇
駰	骃
闉	𬮱
銀	银
誾	訚
檭	𣘴
齗	龂
鷣	𫜃
飲	饮
隱	隐
蘟	𦻕
癮	瘾
猌	𪺽
廕	荫
憖	慭
鮣	䲟
緓	绬
罃	䓨
鍈	锳
嬰	婴
應	应
嚶	嘤
孆	𫝭
孾	𪧀
攖	撄
罌	罂
櫻	樱
瓔	璎
鶯	莺
纓	缨
鷹	鹰
鸚	鹦
塋	茔
熒	荧
瑩	莹
營	营
縈	萦
螢	萤
濚	溁
瀅	滢
鎣	蓥
瀠	潆
蠅	蝇
贏	赢
潁	颍
穎	颖
頴	颕
巊	𪩎
癭	瘿
喲	哟
佣	佣
傭	佣
擁	拥
鏞	镛
鱅	鳙
癰	痈
顒	颙
鰫	𫚦
涌	涌
湧	涌
詠	咏
鯒	鲬
醟	蒏
憂	忧
優	优
郵	邮
游	游
猶	犹
遊	游
鈾	铀
蕕	莸
魷	鱿
輶	𬨎
鮋	鲉
銪	铕
誘	诱
紆	纡
于	于
余	余
於	于
娛	娱
魚	鱼
漁	渔
諛	谀
餘	余 馀
覦	觎
歟	欤
璵	玙
輿	舆
籅	𥫣
騟	𩨈
俁	俣
傴	伛
與	与
語	语
鋙	铻
嶼	屿
齬	龉
郁	郁
欲	欲
御	御
飫	饫
馭	驭
愈	愈
鈺	钰
預	预
嫗	妪
獄	狱
慾	欲
澦	滪
蕷	蓣
諭	谕
錥	𫓾
閾	阈
鴥	𫛣
禦	御
癒	愈
鵒	鹆
譽	誉
鱊	𫚪
鷸	鹬
軉	𨉗
鬱	郁
籲	吁
淵	渊
鳶	鸢
鴛	鸳
鵷	鹓
貟	贠
員	员
園	园
圓	圆
緣	缘
轅	辕
黿	鼋
櫞	橼
騵	𫘪
鶰	𫛫
遠	远
愿	愿
願	愿 𫖸
約	约
彠	彟
岳	岳
悅	悦
軏	𫐄
鈅	钥
粵	粤
鉞	钺
閱	阅
嶽	岳
躍	跃
鸑	𬸚
暈	晕
蒕	蒀
氳	氲
頵	𫖳
贇	赟
云	云
勻	匀
芸	芸
紜	纭
鄖	郧
雲	云
溳	涢
熉	𤈶
澐	沄
蕓	芸
篔	筼
鈗	𫟵
隕	陨
殞	殒
霣	𫕥
鄆	郓
惲	恽
運	运
慍	愠
腪	𣍯
熅	煴
緷	𦈉
縕	緼 缊
薀	蕰
醞	酝 醖
餫	𫗥
韞	韫
蘊	蕴 藴
韻	韵
紮	扎
鉔	𫓬
臢	臜
雜	杂
災	灾
載	载
儎	傤
攢	攒
趲	趱
暫	暂
蹔	𫏐
贊	赞
鏨	錾
酇	酂
灒	𪷽
瓚	瓒
讚	赞
贓	赃
髒	脏
駔	驵
臟	脏
鑿	凿
棗	枣
繰	缲
皁	皂
皂	皂
噪	噪
譟	噪
竈	灶
則	则
責	责
嘖	啧
幘	帻
擇	择
澤	泽
皟	𤾀
簀	箦
襗	𫋷
賾	赜
齰	𫜬
賊	贼
鯽	鲫
鰂	鲗
譖	谮
繒	缯
鋥	锃
贈	赠
扎	扎
吒	咤
閘	闸
鍘	铡
鮓	鲊
鮺	鲝
詐	诈
齋	斋
債	债
沾	沾
飦	𫗞
詀	𧮪
霑	沾
氈	毡
譫	谵
饘	𫗴
驙	𫘰
鱣	鳣
鸇	鹯
斬	斩
盞	盏
嶄	崭
颭	飐
輾	辗
占	占
佔	占
棧	栈
綻	绽
嶘	𡺄
戰	战 𢧐
驏	骣
張	张
餦	𫗠
鱆	𫠒
長	长
漲	涨
帳	帐
脹	胀
痮	𪽪
賬	账 𧹔
釗	钊
鉊	𬬿
詔	诏
趙	赵
鮡	𬶐
折	折
摺	折
輒	辄
蟄	蛰
謫	谪
鮿	𫚚
轍	辙
讋	詟
鍺	锗
襵	𫌇
這	这
鷓	鹧
貞	贞
針	针
偵	侦
楨	桢
禎	祯
鉁	𨱅
鍼	针
診	诊
軫	轸
陣	阵
紖	纼
誫	𫍨
賑	赈
鴆	鸩
鎮	镇
征	征
爭	争
崢	峥
掙	挣
猙	狰
睜	睁
鉦	钲
箏	筝
錚	铮
鯖	鲭
癥	症
症	症
幀	帧
証	证
諍	诤
鄭	郑
證	证
隻	只
梔	栀
鳷	𫛛
鴲	𪉆
織	织
執	执
跖	跖
縶	絷
職	职
蹠	跖
躑	踯
只	只
紙	纸
訨	𫟞
軹	轵
徵	征
志	志
制	制
致	致
輊	轾
滯	滞
製	制
誌	志
銍	铚
幟	帜
摯	挚
質	质
緻	致
駤	𫘠
擲	掷
櫛	栉
贄	贽
櫍	𬃊
觶	觯
騭	骘
躓	踬
鷙	鸷
鑕	锧
終	终
鈡	钟
鍾	钟 锺
鐘	钟
种	种
腫	肿
種	种
衆	众
諥	𫍳
周	周
週	周
輈	辀
銂	𫟻
賙	周 赒
輖	𫐏
謅	诌
鵃	鸼
譸	诪
軸	轴
鯞	𫚡
冑	胄
紂	纣
胄	胄
晝	昼
葤	荮
皺	皱
駎	𩧨
縐	绉
驟	骤
朱	朱
硃	朱
誅	诛
銖	铢
諸	诸
豬	猪
瀦	潴
櫫	橥
櫧	槠
築	筑
燭	烛
孎	𡠟
欘	𣚚
爥	𪹳
蠾	𧑏
詝	𬣞
劚	㔉
囑	嘱
斸	𣃁
矚	瞩
佇	伫
注	注
眝	𪾣
竚	𥩟
紵	纻
筑	筑
註	注
貯	贮
駐	驻
鑄	铸
專	专
鄟	𫑘
膞	䏝
磚	砖
諯	𫍱
顓	颛
鱄	𫚋
竱	𫁟
轉	转
賺	赚
饌	馔
囀	啭
妝	妆
莊	庄
裝	装
樁	桩
壯	壮
狀	状
戇	戆
錐	锥
騅	骓
墜	坠
綴	缀
縋	缒
贅	赘
諄	谆
准	准
準	准
綧	𬘯
梲	棁
諑	诼
濁	浊
鐯	䦃
鵫	𫛱
鐲	镯
鷟	𬸦
咨	咨
茲	兹
貲	赀
資	资
緇	缁
輜	辎
澬	𫞚
諮	咨 谘
錙	锱
鎡	镃
璾	𫞦
鯔	鲻
鰦	𫚤
釨	𫓦
眥	眦
漬	渍
綜	综
豵	𫎆
蹤	踪
騌	骔
傯	偬
總	总
糉	粽
瘲	疭
錝	𫓽
縱	纵
鄒	邹
諏	诹
鯫	鲰
騶	驺
鏃	镞
組	组
詛	诅
鑽	钻
纘	缵
纗	𫄹
鐏	𨱔
鱒	鳟
鷷	𫜄
繓	𦈛
飵	𫗢
㐹	㐹
㑮	𫝈
㑯	㑔
㑳	㑇
㑶	㐹
𠌥	𠆿
㒓	𠉂
𠏢	𠉗
𠐊	𫝋
㓄	𪠟
𠗣	㓆
㓨	刾
𠞆	𠛆
㔋	𪟎
𪟖	𠛾
𠠎	𠚳
𠬙	𪠡
㖮	𪠵
𠽃	𪠺
㗲	𠵾
㗿	𪡛
𠿕	𪜎
㘉	𠰱
𡂡	𪢒
𡃄	𪡺
𡃕	𠴛
𡃤	𪢐
㘓	𪢌
㘔	𫬐
𡄔	𠴢
𡄣	𠵸
𡅏	𠲥
𡅯	𪢖
㘚	㘎
𡑍	𫭼
𡑭	𡋗
𡓁	𪤄
𡓾	𡋀
𡔖	𡍣
㛝	𫝦
㜄	㚯
𡞵	㛟
㜏	㛣
㜐	𫝧
𡟫	𫝪
㜗	𡞋
㜢	𡞱
𡠹	㛿
𡢃	㛠
㜷	𡝠
𡮉	𡭜
𡮣	𡭬
㞞	𪨊
𡳳	𡳃
𡸗	𪨩
𡹬	𪨹
㟺	𪩇
㠏	㟆
𡽗	𡸃
㠣	𫵷
𡾱	㟜
𡿖	𪩛
㢗	𪪑
㢝	𢋈
𢍰	𪪴
㥮	㤘
㦎	𢛯
𢠼	𢙑
㦛	𢗓
㦞	𪫷
𢣐	𪬚
𢣚	𢘝
𢣭	𢘞
𢤩	𪫡
𢤱	𢘙
𢤿	𪬯
𢯷	𪭝
㨻	𪮃
㩋	𪮋
𢶒	𪭯
𢶫	𢫞
㩜	㨫
𢷮	𢫊
㩳	㧐
𢹿	𢬦
㩵	擜
𢺳	𪮳
㪎	𪯋
𩖰	𫠇
𣈶	暅
𠁞	𠀾
𣋋	𣈣
𣍐	𫧃
𣙎	㭣
㯤	𣘐
𣜬	𪳗
𣝕	𣘷
𣞻	𣘓
𣠩	𣞎
𣠲	𣑶
㰙	𣗙
𣯩	𣯣
𣯴	𣭤
𣯶	毶
㵗	𣳆
𣽏	𪶮
𣾷	㳢
𪷓	𣶭
𣿉	𣶫
㵾	𪷍
𤁣	𣺽
㶆	𫞛
𤄷	𪶒
𤅶	𣷷
㷍	𤆢
㷿	𤈷
𤑳	𤎻
𤑹	𪹀
𤒎	𤊀
𤒻	𪹹
𤓌	𪹠
𤓎	𤎺
𤓩	𤊰
𤘀	𪺣
𤛮	𤙯
𤛱	𫞢
𤜆	𪺪
㹽	𫞣
𤠮	𪺸
㺏	𤠋
㺜	𪺻
𤢟	𤝢
𤢻	𢢐
㻶	𪼋
𤩂	𫞧
𤪺	㻘
𤫩	㻏
𤬅	𪼴
𤳷	𪽝
𤳸	𤳄
𤷃	𪽭
𤸫	𤶧
𤺔	𪽴
㿖	𪽮
㿗	𤻊
㿧	𤽯
䀉	𥁢
䀹	𥅴
䁪	𥇢
𥊝	𥅿
𥌃	𥅘
䁻	䀥
䂎	𥎝
𥏝	𪿊
𥕥	𥐰
𥖅	𥐯
䃮	鿎
𥖲	𪿞
𥗇	𪿵
𥗽	𬒗
𥜐	𫀓
𥜰	𫀌
䅐	𫀨
𥞵	𥞦
䅳	𫀬
𥢢	䅪
𥢶	𫞷
𥢷	𫀮
䆉	𫁂
𥨐	𥧂
𥪂	𥩺
𥯤	𫁳
䉑	𫁲
䉙	𥬀
𥴨	𫂖
𥴼	𫁺
𥵃	𥱔
𥵊	𥭉
䉬	𫂈
𥶽	𫁱
䉲	𥮜
䉶	𫁷
𥸠	𥮋
𥻦	𫂿
𥼽	𥹥
䊭	𥺅
𥽖	𥺇
䊷	䌶
䊺	𫄚
䋃	𫄜
𥾯	𫄝
䋔	𫄞
𥿊	𦈈
䋙	䌺
䋚	䌻
䋦	𫄩
𦀖	𫄦
䋹	䌿
䋻	䌾
䋼	𫄮
䋿	𦈓
𦂅	𦈒
䌈	𦈖
䌋	𦈘
𦃄	𦈗
𦃩	𫄯
䌖	𦈜
𦅇	𫄪
𦅈	𫄵
䌝	𦈟
䌟	𦈞
䌥	𦈠
𦆲	𫟇
䌰	𦈙
䍤	𫅅
䍦	䍠
䍽	𦍠
𦒀	𫅥
䎙	𫅭
𦔖	𫅼
䎱	䎬
𦘧	𡳒
𦟼	𫆝
𦠅	𫞅
𦡝	𫆫
𦢈	𣍨
𦣎	𦟗
𦧺	𫇘
𦪙	䑽
𦪽	𦨩
䓣	𬜯
𦱌	𫇪
鿓	鿒
𦾟	𦶻
䕤	𫟕
䕳	𦰴
䖅	𫟑
䗅	𫊪
𧎈	𧌥
𧒯	𫊹
䗿	𧉞
𧔥	𧒭
𧕟	𧉐
𧜗	䘞
䙔	𫋲
𧜵	䙊
䙡	䙌
𧝞	䘛
𧞫	𫌋
𧟀	𧝧
䙱	𧜭
𧡴	𫌫
𧢄	𫌬
䚩	𫌯
䛄	𫍠
𧦝	𫍞
𧦧	𫍟
鿁	䜤
䛳	𫍫
𧩕	𫍭
𧩙	䜥
𧩼	𫍶
䜀	䜧
𧫝	𫍺
𧬤	𫍼
䜖	𫟢
𧭈	𫍾
𧭹	𫍐
𧳟	𧳕
䝭	𫎧
𧵳	䞌
𧶔	𧹓
䝻	𧹕
䝼	䞍
𧶧	䞎
𧷎	𪠀
䞈	𧹑
𧸘	𫎨
䞋	𫎪
𧹈	𪥠
䞓	𫎭
䟃	𫎺
䟆	𫎳
𧽯	𫎸
䟐	𫎱
䠆	𫏃
𨂐	𫏌
𨄣	𨀱
𨅍	𨁴
𨆪	𫏕
𨇁	𧿈
𨇞	𨅫
𨇤	𫏨
𨇰	𫏞
𨇽	𫏑
䠱	𨅛
𨈊	𨂺
𨈌	𨄄
𨊰	䢀
𨊸	䢁
𨊻	𨐆
䡐	𫟤
𨋢	䢂
𨌈	𫐍
䡩	𫟥
𨍰	𫐔
𨎌	𫐋
䡵	𫟦
𨎮	𨐉
𨏠	𨐇
𨏥	𨐊
䢨	𨑹
𨞺	𫟫
𨟊	𫟬
𨢿	𨡙
𨣈	𨡺
𨣞	𨟳
𨣧	𨠨
𨤻	𨤰
𨥛	𨱀
𨥟	𫓫
龯	𨱆
䤤	𫟺
𨦫	䦀
𨧀	𬭊
𨧜	䦁
𫒡	𫓷
𨧰	𫟽
𨧱	𨱊
𨨏	𬭛
𨨛	𫓼
𨨢	𫓿
𨩰	𫟾
䥄	𫠀
䥇	䦂
𨪕	𫓮
䥑	鿏
𨫒	𨱐
䥕	𬭯
䥗	𫔋
𨬖	𫔏
𨭆	𬭶
𨭎	𬭳
𨭖	𫔑
𨭸	𫔐
𨮂	𨱕
䥩	𨱖
𨮳	𫔒
䥯	𫔆
䥱	䥾
𨯅	䥿
𨯟	𫔓
𨰃	𫔉
𨰋	𫓳
𨰥	𫔕
𨰲	𫔃
𨲳	𫔖
𨳑	𨸁
𨳕	𨸀
䦘	𨸄
䦛	䦶
𨴗	𨸅
䦟	䦷
𨴹	𫔲
䦯	𫔵
𨵩	𨸆
𨵸	𨸇
𨶀	𨸉
𨶏	𨸊
𨶮	𨸌
𨶲	𨸋
䦳	𨷿
𨷲	𨸎
䧢	𨸟
𨼳	𫔽
𨽏	𨸘
𩀨	𫕚
𩅙	𫕨
䪊	𫖅
䪏	𩏼
𩎖	𫖑
𩎢	𩏾
𩏂	𫖓
䪗	𩐀
䪘	𩏿
𩏠	𫖖
𩏪	𩏽
𩏷	𫃗
𩑔	𫖪
䪴	𫖫
䪾	𫖬
𩒎	𫖭
䫀	𫖱
䫂	𫖰
𩓣	𩖕
𩓥	𫖵
𩔑	𫖷
䫟	𫖲
𩔳	𫖴
䫴	𩖗
䫶	𫖺
䫻	𫗇
䫾	𫠈
𩗀	𩙦
𩗓	𫗈
𩗴	𫗉
𩘀	𩙩
䬓	𫗊
䬘	𩙮
𩘝	𩙭
䬝	𩙯
𩘹	𩙨
𩘺	𩙬
𩙈	𩙰
䬞	𩙧
䬧	𫗟
𩚛	𩟿
𩚥	𩠀
𩚩	𫗡
𩚵	𩠁
𩛆	𩠂
𩛌	𫗤
䭀	𩠇
𩛡	𫗨
𩛩	𩠃
䭃	𩠈
𩜇	𩠉
𩜦	𩠆
𩜵	𩠊
𩝔	𩠋
䭑	𫗱
䭔	𫗰
𩝽	𫗳
𩞄	𩠎
𩞦	𩠏
𩞯	䭪
𩟐	𩠅
𩟗	𫗚
𩠴	𩠠
𩡣	𩡖
𩡺	𩧦
