錒	锕
鯛	鲷
鵰	雕 𫛲
弔	吊
吊	吊
釣	钓
蓧	𦰏
銱	铞
調	调
窵	窎
絰	绖
嵽	𫶇
諜	谍
鰈	鲽
疊	叠
釘	钉
頂	顶
訂	订
飣	饤
鋌	铤
錠	锭
丟	丢
銩	铥
冬	冬
東	东
倲	㑈
埬	𪣆
崬	岽
氭	𣱝
蝀	𬟽
鼕	冬
鶇	鸫
凍	冻
動	动
棟	栋
絧	𫄡
腖	胨
駧	𩧲
鈄	钭
斗	斗
鬥	斗
閗	𫔯
餖	饾
竇	窦
闍	阇
獨	独
嬻	𪥿
瀆	渎
櫝	椟
殰	㱩
牘	牍
犢	犊
瓄	𪻨
讀	读
黷	黩
賭	赌
篤	笃
鍍	镀
緞	缎
鍛	锻
斷	断
籪	簖
兌	兑
隊	队
綐	䌼
對	对
濧	㳔
懟	怼
鐓	镦
噸	吨
躉	趸
鈍	钝
頓	顿
燉	炖
敓	敚
奪	夺
凙	𪞝
鮵	𫚛
鐸	铎
綞	缍
嚲	亸
飿	饳
墮	堕
痾	疴
訛	讹
鈋	𨱂
鋨	锇
額	额
鵝	鹅
噁	恶 𫫇
堊	垩
軛	轭
惡	恶
魥	𩽹
餓	饿
諤	谔
閼	阏
鍔	锷
顎	颚
鶚	鹗
齶	腭
鱷	鳄
誒	诶
兒	儿
鮞	鲕
鴯	鸸
爾	尔
餌	饵
邇	迩
貳	贰
鉺	铒
發	发
醱	酦
罰	罚
閥	阀
鍅	钫
琺	珐
髮	发
氾	泛
渢	沨
煩	烦
礬	矾
鐇	𫔍
鷭	𬸪
釩	钒
汎	泛
泛	泛
范	范
販	贩
軬	𫐊
飯	饭
範	范
鈁	钫
魴	鲂
鰟	鳑
仿	仿
紡	纺
訪	访
鶭	𫛯
飛	飞
緋	绯
騑	𬴂
誹	诽
費	费
廢	废
曊	𪰶
櫠	𪲮
鯡	鲱
鐨	镄
紛	纷
訜	𫍛
鈖	𫟴
墳	坟
幩	𪩸
濆	𣸣
魵	𫚍
羵	𫅗
豶	豮
鐼	𫔁
僨	偾
憤	愤
奮	奋
膹	𪱥
糞	粪
鱝	鲼
丰	丰
風	风
峯	峰
偑	㐽
楓	枫
瘋	疯
碸	砜
鋒	锋
豐	丰
灃	沣
麷	𫜑
馮	冯
諷	讽
鳳	凤
縫	缝
賵	赗
鴀	𫛜
夫	夫
伕	夫
鈇	𫓧
膚	肤
麩	麸
麬	𤿲
佛	佛
彿	佛
紱	绂
紼	绋
絥	𫄢
鳧	凫
韍	韨
鴔	𫛡
輻	辐
鮄	𫚒
鵩	𫛳
輔	辅
嘸	呒
撫	抚
頫	𫖯
訃	讣
負	负
婦	妇
復	复
複	复
緮	𫄭
賦	赋
駙	驸
縛	缚
鮒	鲋
賻	赙
覆	复
鰒	鳆
釓	钆
該	该
賅	赅
鈣	钙
隑	𬮿
蓋	盖
杆	杆
尷	尴
桿	杆
稈	秆
趕	赶
鱤	鳡
干	干
紺	绀
幹	干
贑	𫎬
贛	赣
岡	冈
剛	刚
掆	㧏
棡	㭎
綱	纲
鋼	钢
崗	岗
杠	杠
槓	杠
縞	缟
誥	诰
鋯	锆
鴐	𫛤
