蹿	躥
窜	竄
缞	縗
鹾	鹺
锉	銼
错	錯
哒	噠
𨱏	鎝
达	達
荙	薘
𫟼	鐽
鞑	韃
垯	墶
跶	躂
呆	獃
轪	軑
绐	紿
骀	駘
带	帶
贷	貸
叇	靆
单	單
担	擔
郸	鄲
殚	殫
瘅	癉
箪	簞
𬘘	紞
胆	膽
掸	撣
赕	賧
诞	誕
𫢸	僤
弹	彈
惮	憚
当	噹 當
珰	璫
裆	襠
铛	鐺
筜	簹
挡	擋
党	黨
谠	讜
𣗋	欓
砀	碭
垱	壋
荡	盪 蕩
档	檔
𬍡	璗
鱽	魛
导	導
岛	島
陦	隯
捣	搗 擣
祷	禱
盗	盜
锝	鍀
灯	燈
邓	鄧
镫	鐙
䃅	磾
镝	鏑
籴	糴
敌	敵
涤	滌
𬱖	頔
觌	覿
诋	詆
抵	牴
牴	牴
递	遞
谛	諦
缔	締
䗖	螮
颠	顛
巅	巔
癫	癲
点	點
电	電
垫	墊
钿	鈿
淀	澱
雕	彫 琱 鵰
鲷	鯛
吊	弔
钓	釣
窎	窵
调	調
铞	銱
铫	銚
绖	絰
谍	諜
𫶇	嵽
叠	疊
鲽	鰈
钉	釘
顶	頂
订	訂
饤	飣
锭	錠
丢	丟
铥	銩
东	東
冬	鼕
岽	崬
鸫	鶇
𬟽	蝀
动	動
冻	凍
栋	棟
胨	腖
钭	鈄
斗	鬥
饾	餖
窦	竇
阇	闍
独	獨
读	讀
渎	瀆
椟	櫝
牍	牘
犊	犢
黩	黷
笃	篤
赌	賭
𬭊	𨧀
镀	鍍
断	斷
缎	緞
锻	鍛
簖	籪
队	隊
对	對
兑	兌
怼	懟
吨	噸
镦	鐓
趸	躉
炖	燉
钝	鈍
顿	頓
夺	奪
铎	鐸
敚	敓
缍	綞
亸	嚲
饳	飿
堕	墮
讹	訛
锇	鋨
鹅	鵝
额	額
轭	軛
垩	堊
恶	噁 惡
饿	餓
谔	諤
𫫇	噁
腭	齶
锷	鍔
鹗	鶚
颚	顎
擜	㩵
鳄	鰐 鱷
诶	誒
儿	兒
鸸	鴯
鲕	鮞
尔	爾
迩	邇
饵	餌
铒	鉺
贰	貳
发	發 髮
罚	罰
阀	閥
珐	琺
矾	礬
钒	釩
烦	煩
𫔍	鐇
𬸪	鷭
泛	氾 汎
饭	飯
范	範
贩	販
钫	鈁 鍅
鲂	魴
仿	彷
访	訪
纺	紡
飞	飛
绯	緋
𬴂	騑
鲱	鯡
诽	誹
废	廢
费	費
镄	鐨
纷	紛
坟	墳
𣸣	濆
豮	豶
奋	奮
偾	僨
愤	憤
粪	糞
鲼	鱝
丰	豐
风	風
沣	灃
沨	渢
枫	楓
疯	瘋
砜	碸
峰	峯
锋	鋒
冯	馮
讽	諷
凤	鳳
缝	縫
赗	賵
肤	膚
𫓧	鈇
麸	麩
凫	鳧 鳬
佛	彿
绂	紱
绋	紼
韨	韍
辐	輻
呒	嘸
抚	撫
辅	輔
𫖯	頫
讣	訃
妇	婦
负	負
驸	駙
复	復 複 覆
赋	賦
缚	縛
鲋	鮒
赙	賻
鳆	鰒
覆	覆
钆	釓
该	該
赅	賅
钙	鈣
𬮿	隑
盖	蓋
杆	桿
尴	尷
秆	稈
赶	趕
鳡	鱤
干	乾 幹 榦
绀	紺
赣	贛
冈	岡
刚	剛
纲	綱
㭎	棡
钢	鋼
岗	崗
杠	槓
戆	戇
缟	縞
镐	鎬
诰	誥
锆	鋯
鸽	鴿
搁	擱
阁	閣
镉	鎘
个	個 箇
铬	鉻
给	給
亘	亙
搄	揯
赓	賡
鹒	鶊
绠	綆
鲠	鯁
暅	𣈶
宫	宮
龚	龔
巩	鞏
贡	貢
沟	溝
钩	鈎 鉤
缑	緱
鞲	韝
构	構
诟	詬
购	購
够	夠
觏	覯
轱	軲
鸪	鴣
诂	詁
谷	穀
钴	鈷
蛊	蠱
馉	餶
鹄	鵠
毂	轂
鹘	鶻
顾	顧
雇	僱
锢	錮
鲴	鯝
刮	颳
鸹	鴰
剐	剮
诖	詿
挂	掛
掴	摑
拐	枴 柺
关	關
观	觀
鳏	鰥
馆	舘 館
鳤	䲘
贯	貫
惯	慣
掼	摜
鹳	鸛
𨐈	輄
广	廣
犷	獷
归	歸
妫	媯 嬀
龟	龜
规	規
闺	閨
椝	槼
鲑	鮭
鬶	鬹
轨	軌
匦	匭
诡	詭
刽	劊
刿	劌
柜	櫃
贵	貴
桧	檜
椢	槶
鳜	鱖
衮	袞
绲	緄
辊	輥
滚	滾
鲧	鯀
呙	咼
埚	堝
啯	嘓
锅	鍋
蝈	蟈
国	國
帼	幗
𬇹	漍
腘	膕
馃	餜
椁	槨
过	過
铪	鉿
还	還
骇	駭
顸	頇
韩	韓
㘎	㘚
汉	漢
闬	閈
颔	頷
绗	絎
颃	頏
蚝	蠔
号	號
颢	顥
灏	灝
诃	訶
